rate,trial,pop_idx,pop_name,fs,n_samples,freq_resolution_hz,f0_hz,f0_power,flow_hz,flow_power,flow_over_f0
05.25,2,6,L6E,1000.0,300000,0.244140625,76.171875,0.008829473217568592,41.015625,0.026183111708777847,0.5384615384615384
05.25,2,7,L6I,1000.0,300000,0.244140625,77.63671875,0.007107743747402933,43.45703125,0.01935964235066158,0.559748427672956
05.25,3,0,L23E,1000.0,300000,0.244140625,,,,,
05.25,3,1,L23I,1000.0,300000,0.244140625,79.345703125,0.002084678475376095,36.62109375,0.015101420172786453,0.46153846153846156
05.25,3,2,L4E,1000.0,300000,0.244140625,77.880859375,0.0013720143121433873,40.52734375,0.003926869966343384,0.5203761755485894
05.25,3,3,L4I,1000.0,300000,0.244140625,76.171875,0.004093304067877072,41.50390625,0.011823479839117516,0.5448717948717948
05.25,3,4,L5E,1000.0,300000,0.244140625,79.833984375,0.0144266866392915,42.96875,0.045282488807390955,0.5382262996941896
05.25,3,5,L5I,1000.0,300000,0.244140625,75.68359375,0.0009356942138321381,39.306640625,0.002766465953831442,0.5193548387096775
05.25,3,6,L6E,1000.0,300000,0.244140625,76.904296875,0.015680417953847014,38.57421875,0.047949032933116024,0.5015873015873016
05.25,3,7,L6I,1000.0,300000,0.244140625,81.787109375,0.002826552102306176,41.748046875,0.01137680803830562,0.5104477611940299
05.25,4,0,L23E,1000.0,300000,0.244140625,79.58984375,0.0029651203199364618,39.55078125,0.010839662719377445,0.49693251533742333
05.25,4,1,L23I,1000.0,300000,0.244140625,79.1015625,0.0040100789965159785,37.353515625,0.014187446611085995,0.4722222222222222
05.25,4,2,L4E,1000.0,300000,0.244140625,76.904296875,0.027149843302405722,36.1328125,0.08359611715808658,0.46984126984126984
05.25,4,3,L4I,1000.0,300000,0.244140625,79.833984375,0.008448957805264671,39.55078125,0.029319946467046942,0.4954128440366973
05.25,4,4,L5E,1000.0,300000,0.244140625,83.251953125,0.012089977827364696,39.794921875,0.04381127177188465,0.4780058651026393
05.25,4,5,L5I,1000.0,300000,0.244140625,83.251953125,0.0019875467273368164,38.0859375,0.00857343980136194,0.4574780058651026
05.25,4,6,L6E,1000.0,300000,0.244140625,84.47265625,0.0063560183878071125,38.57421875,0.030686237103716575,0.45664739884393063
05.25,4,7,L6I,1000.0,300000,0.244140625,80.810546875,0.005765704194533198,36.865234375,0.024816663917361162,0.4561933534743202
05.25,5,0,L23E,1000.0,300000,0.244140625,75.68359375,0.0007455506387310203,36.1328125,0.0024066355974641847,0.4774193548387097
05.25,5,1,L23I,1000.0,300000,0.244140625,77.392578125,0.002521489699520967,38.0859375,0.007552939273465541,0.4921135646687697
05.25,5,2,L4E,1000.0,300000,0.244140625,76.66015625,0.013045835707387458,38.0859375,0.04748639299588585,0.4968152866242038
05.25,5,3,L4I,1000.0,300000,0.244140625,83.0078125,0.005802608265534374,41.259765625,0.019125564116237816,0.4970588235294118
05.25,5,4,L5E,1000.0,300000,0.244140625,81.0546875,0.011228023850749452,38.818359375,0.04265701341333031,0.4789156626506024
05.25,5,5,L5I,1000.0,300000,0.244140625,79.833984375,0.0014948136861561662,39.55078125,0.005600611137230477,0.4954128440366973
05.25,5,6,L6E,1000.0,300000,0.244140625,76.171875,0.011409514606825943,37.109375,0.03812534403918856,0.48717948717948717
05.25,5,7,L6I,1000.0,300000,0.244140625,78.857421875,0.004574595695141024,35.64453125,0.018319482462697094,0.4520123839009288
05.25,6,0,L23E,1000.0,300000,0.244140625,77.1484375,0.0002525570792987643,37.353515625,0.0009429524842766218,0.48417721518987344
05.25,6,1,L23I,1000.0,300000,0.244140625,82.03125,0.0017209148071838298,41.748046875,0.0062449208205948474,0.5089285714285714
05.25,6,2,L4E,1000.0,300000,0.244140625,76.416015625,0.011386169393781545,40.283203125,0.030540687185948323,0.5271565495207667
05.25,6,3,L4I,1000.0,300000,0.244140625,77.1484375,0.005775236647929091,39.55078125,0.01846767402135814,0.5126582278481012
05.25,6,4,L5E,1000.0,300000,0.244140625,81.787109375,0.010317700971934692,38.57421875,0.04323545925427893,0.4716417910447761
